cf-pf  256.5    1.8180              SOURCE3       8	
cf-px  254.6    1.8210              SOURCE3       6	
cf-py  264.5    1.8056      SOURCE3_SOURCE5      17	 0.0171
cf-s   324.5    1.6800              SOUECE3       1	
cf-sx  227.2    1.8185      SOURCE3_SOURCE5      25	 0.0105
cf-sy  245.1    1.7881      SOURCE3_SOURCE5      36	 0.0177
cg-cg  506.8    1.3693      SOURCE1_SOURCE5      62	 0.0025
cg-ch  898.8    1.2056      SOURCE1_SOURCE5     156	 0.0023
cg-n1  943.1    1.1566      SOURCE1_SOURCE5     879	 0.0015
cg-ne  509.7    1.3261      SOURCE4_SOURCE5      68	 0.0013
cg-pe  429.8    1.6210              SOURCE3      11	 0.2008
c -h4  310.7    1.1121      SOURCE4_SOURCE5     506	 0.0025
c -h5  319.7    1.1051      SOURCE4_SOURCE5     163	 0.0038
c -ha  325.1    1.1010              SOURCE3      53	 0.0102
ch-ch  506.8    1.3693      SOURCE1_SOURCE5      62	 0.0025
ch-n1  943.1    1.1566      SOURCE1_SOURCE5     879	 0.0015
ch-nf  509.7    1.3261      SOURCE4_SOURCE5      51	 0.0014
ch-pf  429.8    1.6210              SOURCE3      11	
c -i   198.9    2.2090              SOURCE3       4	 0.0365
cl-cl  143.3    2.2670              SOURCE1       2	 0.0395
cl-cx  277.6    1.7880               5/2017      42	 0.0071
cl-cy  273.4    1.7940               5/2017      26	 0.0106
cl-f     0.1    1.6480              SOURCE2       2	 0.0500
cl-i     0.0    2.5500              SOURCE1       6	 0.0893
cl-n1  431.6    1.6300              SOUECE3       1	
cl-n2  263.4    1.8190              SOURCE3       6	 0.1020
cl-n3  292.5    1.7772      SOURCE4_SOURCE5      16	 0.0044
cl-n   342.3    1.7161      SOURCE4_SOURCE5      17	 0.0049
cl-n4  311.1    1.7530              SOURCE3       4	 0.0098
cl-na  253.2    1.8350              SOURCE3       7	 0.2083
cl-nh  303.2    1.7630              SOURCE3       1	
cl-no  250.1    1.8400              SOURCE2       1	
cl-o   557.6    1.4830              SOURCE3       4	
cl-oh  309.7    1.6900              SOURCE2       1	
cl-os  278.8    1.7300              SOURCE3       4	
cl-p2  217.5    2.0700              SOURCE3       6	 0.0108
cl-p3  249.4    2.0080              SOURCE1     111	
cl-p4  249.4    2.0080              SOURCE1     111	
cl-p5  249.4    2.0080              SOURCE1     111	
cl-pb  255.6    1.9970              SOURCE1      46	
cl-s   208.7    2.0720              SOURCE1       6	
cl-s2  172.7    2.1610              SOURCE2       1	
cl-s4  208.7    2.0720              SOURCE1       6	
cl-s6  208.7    2.0720              SOURCE1       6	
cl-sh  208.7    2.0720              SOURCE1       6	
cl-ss  208.7    2.0720              SOURCE1       6	
cl-sx  208.7    2.0720              SOURCE1       6	
cl-sy  208.7    2.0720              SOURCE1       6	
c -n2  374.6    1.4200              SOUECE3       1	
c -n4  255.5    1.5460              SOURCE3       4	 0.0388
c -n   427.6    1.3789      SOURCE1_SOURCE5    9463	 0.0137
c -nc  416.9    1.3867         CORR_SOURCE5     179	 0.0121
c -nd  416.9    1.3867         CORR_SOURCE5     179	 0.0121
c -ne  411.2    1.3909         CORR_SOURCE5      87	 0.0140
c -nf  411.2    1.3909         CORR_SOURCE5      87	 0.0140
c -no  260.1    1.5400              SOUECE3       1	
c -o   637.7    1.2183      SOURCE1_SOURCE5   27083	 0.0110
c -oh  400.1    1.3513      SOURCE1_SOURCE5    3610	 0.0055
c -os  390.8    1.3584      SOURCE1_SOURCE5    5555	 0.0163
c -p2  210.3    1.9000              SOUECE3       1	
c -p3  219.0    1.8830              SOURCE3       6	 0.0129
c -p4  220.6    1.8800              SOUECE3       1	
c -p5  219.6    1.8818      SOURCE4_SOURCE5      25	 0.0081
cp-cp  351.4    1.4854      SOURCE1_SOURCE5     728	 0.0059
cp-cq  386.6    1.4542      SOURCE4_SOURCE5      34	 0.0159
c -pe  204.9    1.9110              SOURCE3       3	 0.0025
c -pf  204.9    1.9110              SOURCE3       3	
cp-na  420.5    1.3840              SOURCE4       7	 0.0181
cp-nb  488.5    1.3387      SOURCE4_SOURCE5     190	 0.0068
c -px  208.3    1.9040              SOURCE3       1	
c -py  227.6    1.8670      SOURCE3_SOURCE5      17	 0.0103
cq-cq  351.4    1.4854      SOURCE1_SOURCE5     728	 0.0059
c -s   331.3    1.6723      SOURCE1_SOURCE5     875	 0.0114
c -s4  200.4    1.8700              SOUECE3       1	
c -s6  200.4    1.8700              SOUECE3       1	
c -sh  239.7    1.7971      SOURCE3_SOURCE5      39	 0.0097
c -ss  237.9    1.8000      SOURCE1_SOURCE5     249	 0.0157
c -sx  193.3    1.8850              SOURCE3       5	 0.0088
c -sy  202.8    1.8650              SOURCE3       5	 0.0085
cu-cu  640.6    1.3000               5/2017       2	 0.0001
cu-cx  368.5    1.4700               5/2017      31	 0.0066
cu-ha  356.0    1.0790               5/2017       1	
cv-cv  557.0    1.3410               5/2017       3	 0.0026
cv-cy  316.0    1.5210               5/2017      19	 0.0057
cv-ha  342.9    1.0880               5/2017       3	 0.0001
cv-cx  331.4    1.5050               5/2017       2	 0.0002
cx-cx  328.5    1.5080               5/2017    1577	 0.0100
cx-cy  309.6    1.5280               5/2017       3	 0.0083
cx-f   343.8    1.3610               5/2017       7	 0.0043
cx-h1  341.5    1.0890               5/2017    1132	 0.0013
cx-h2  344.3    1.0870               5/2017       5	 0.0014
cx-hc  344.3    1.0870               5/2017    1658	 0.0009
cx-hx  347.2    1.0850               5/2017      14	 0.0002
cx-n2  338.9    1.4520               5/2017       3	 0.0065
cx-n3  348.5    1.4430               5/2017      23	 0.0030
cx-n   358.5    1.4340               5/2017      15	 0.0035
cx-na  329.6    1.4610               5/2017      38	 0.0029
cx-nh  358.5    1.4340               5/2017      16	 0.0017
cx-oh  344.3    1.3970               5/2017       3	 0.0035
cx-os  335.6    1.4050               5/2017      13	 0.0116
cx-p3  205.4    1.9100               5/2017       1	
cx-s4  194.7    1.8820               5/2017       2	 0.0203
cx-s6  210.8    1.8490               5/2017       2	 0.0016
cx-ss  217.6    1.8360               5/2017       5	 0.0011
cy-cy  283.6    1.5580               5/2017     923	 0.0062
cy-f   348.4    1.3570               5/2017      28	 0.0109
cy-h1  333.1    1.0950               5/2017     460	 0.0018
cy-h2  335.9    1.0930               5/2017     130	 0.0016
cy-hc  333.1    1.0950               5/2017     777	 0.0011
cy-n   359.6    1.4330               5/2017     107	 0.0073
cy-n3  333.7    1.4570               5/2017      20	 0.0060
cy-oh  328.1    1.4120               5/2017      13	 0.0082
cy-os  317.9    1.4220               5/2017      28	 0.0080
cy-s6  209.8    1.8510               5/2017      30	 0.0135
cy-ss  210.3    1.8500               5/2017     100	 0.0087
cz-nh  488.0    1.3390      SOURCE4_SOURCE5      85	 0.0046
f -n1  375.7    1.4100              SOUECE3       1	
f -n2  337.5    1.4440              SOURCE3       5	 0.0377
f -n3  380.6    1.4060              SOURCE1       9	
f -n   391.7    1.3970              SOURCE3       3	 0.0112
f -n4  526.8    1.3080              SOURCE3       2	
f -na  374.5    1.4110              SOURCE3       7	 0.0611
f -nh  357.1    1.4260              SOURCE3       3	 0.0085
f -no  314.4    1.4670              SOURCE2       1	
