cd-ha  364.60   1.0835                2021     2567   0.0014
cd-hx  370.00   1.0801                2021        1   0.0000
cd-i   117.44   2.1147                2021        7   0.0138
cd-n1  441.91   1.3014                2021        1   0.0000
cd-n2  466.04   1.2867                2021       42   0.0088
cd-n   335.05   1.3807                2021      265   0.0082
cd-n4  233.32   1.4917                2021        2   0.0112
cd-na  332.45   1.3830                2021     1733   0.0081
cd-nc  417.79   1.3171                2021     1768   0.0078
cd-nd  345.93   1.3713                2021     1734   0.0082
cd-ne  438.58   1.3035                2021       27   0.0125
cd-nf  340.67   1.3758                2021       11   0.0164
cd-nh  323.92   1.3907                2021       67   0.0087
cd-nm  345.34   1.3718                2021        9   0.0067
cd-no  279.53   1.4352                2021       15   0.0116
cd-ns  339.86   1.3765                2021      186   0.0077
cd-nu  346.17   1.3711                2021       94   0.0099
cd-nv  347.00   1.3704                2021      229   0.0092
cd-o   589.69   1.2194                2021        4   0.0015
cd-oh  367.31   1.3492                2021      121   0.0067
cd-os  352.89   1.3608                2021      732   0.0079
cd-p3  205.42   1.8319                2021        2   0.0007
cd-p5  198.38   1.8456                2021        2   0.0000
cd-pc  265.77   1.7338                2021        1   0.0000
cd-py  211.94   1.8197                2021        1   0.0000
cd-s6  197.86   1.8139                2021        1   0.0000
cd-sh  223.3    1.7690     SOURCE4_SOURCE5       14   0.0031
cd-ss  226.53   1.7622                2021      657   0.0200
cd-sx  198.89   1.8119                2021        5   0.0018
cd-sy  216.58   1.7792                2021       30   0.0045
ce-ce  288.33   1.4615                2021      589   0.0108
ce-cf  409.28   1.3561                2021     1365   0.0065
ce-cg  322.02   1.4274                2021      154   0.0050
ce-ch  382.57   1.3758                2021        1   0.0000
ce-cl  184.96   1.7633                2021       66   0.0129
ce-cs  259.07   1.4953                2021       10   0.0121
ce-cu  487.08   1.3066                2021        2   0.0055
ce-cv  404.10   1.3598                2021        6   0.0111
ce-cx  253.08   1.5028                2021       26   0.0077
ce-cy  242.11   1.5171                2021       36   0.0052
ce-f   333.01   1.3523                2021        3   0.0030
ce-h4  352.41   1.0914                2021      278   0.0035
ce-h5  355.29   1.0895                2021        4   0.0006
ce-ha  357.59   1.0880                2021     1796   0.0014
ce-i   100.30   2.1872                2021        3   0.0429
ce-n1  427.12   1.3109                2021       16   0.0049
ce-n2  464.18   1.2878                2021      839   0.0038
ce-n   294.00   1.4198                2021        8   0.0144
ce-na  292.46   1.4214                2021        6   0.0049
ce-ne  322.51   1.3920                2021       62   0.0156
ce-nf  441.43   1.3017                2021       40   0.0093
ce-nh  328.87   1.3862                2021       43   0.0250
ce-nj  289.01   1.4250                2021      186   0.0050
ce-nm  314.81   1.3992                2021        1   0.0000
ce-no  255.44   1.4631                2021        3   0.0129
ce-ns  312.40   1.4015                2021       11   0.0059
ce-nu  313.24   1.4007                2021       87   0.0100
ce-nv  326.88   1.3880                2021      143   0.0101
ce-nx  245.47   1.4756                2021        1   0.0000
ce-o   635.91   1.1999                2021        1   0.0000
ce-oh  359.14   1.3557                2021       36   0.0098
ce-os  339.49   1.3721                2021       83   0.0129
ce-p2  190.4    1.8140             SOUECE3        1         
ce-p5  182.77   1.8782                2021        1   0.0000
ce-pe  174.45   1.8970                2021        1   0.0000
ce-px  192.94   1.8566                2021        1   0.0000
ce-py  218.04   1.8087                2021       17   0.0171
ce-s2  220.91   1.7717                2021        2   0.0000
ce-s   291.4    1.6800             SOUECE3        1         
ce-s4  225.46   1.7640                2021        4   0.0087
ce-sh  204.80   1.8006                2021        1   0.0000
ce-ss  214.88   1.7822                2021       36   0.0113
ce-sx  195.18   1.8192                2021       20   0.0105
ce-sy  208.40   1.7939                2021       28   0.0196
c -f   321.72   1.3623                2021        4   0.0039
cf-cf  297.84   1.4514                2021      345   0.0071
cf-cg  336.3    1.4310             SOURCE1       22         
cf-ch  323.50   1.4260                2021       84   0.0058
cf-cl  196.52   1.7406                2021       17   0.0203
cf-cs  348.96   1.4031                2021        1   0.0000
cf-cv  436.8    1.3600             SOURCE5        6   0.0111
cf-cx  254.90   1.5005                2021        2   0.0008
cf-cy  250.1    1.5160     SOURCE4_SOURCE5       36   0.0052
cf-f   334.28   1.3512                2021        2   0.0033
cf-h4  348.21   1.0942                2021       37   0.0019
cf-ha  356.82   1.0885                2021      900   0.0012
cf-i   101.01   2.1839                2021        1   0.0000
cf-n1  337.67   1.3784                2021        2   0.0007
